Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
LBDHDD,Direct HDL-Cholesterol (mg/dL),HDL_L,Cholesterol – High-Density Lipoprotein,2021,2023,Laboratory,None
LBDHDDSI,Direct HDL-Cholesterol (mmol/L),HDL_L,Cholesterol – High-Density Lipoprotein,2021,2023,Laboratory,None
SEQN,Respondent Sequence Number,HDL_L,Cholesterol – High-Density Lipoprotein,2021,2023,Laboratory,None
WTPH2YR,Phlebotomy 2 Year Weight,HDL_L,Cholesterol – High-Density Lipoprotein,2021,2023,Laboratory,None
LBDTCSI,Total Cholesterol (mmol/L),TCHOL_L,Cholesterol - Total,2021,2023,Laboratory,None
LBXTC,Total Cholesterol (mg/dL),TCHOL_L,Cholesterol - Total,2021,2023,Laboratory,None
SEQN,Respondent Sequence Number,TCHOL_L,Cholesterol - Total,2021,2023,Laboratory,None
WTPH2YR,Phlebotomy 2 Year Weight,TCHOL_L,Cholesterol - Total,2021,2023,Laboratory,None
SEQN,Respondent sequence number.,ALB_CR_L,Albumin & Creatinine - Urine,2021,2023,Laboratory,None
URDACT,Albumin creatinine ratio (mg/g),ALB_CR_L,Albumin & Creatinine - Urine,2021,2023,Laboratory,None
URDUCRLC,"Creatinine, urine comment code",ALB_CR_L,Albumin & Creatinine - Urine,2021,2023,Laboratory,None
URDUMALC,"Albumin, urine comment code",ALB_CR_L,Albumin & Creatinine - Urine,2021,2023,Laboratory,None
URXCRS,"Creatinine, urine (umol/L)",ALB_CR_L,Albumin & Creatinine - Urine,2021,2023,Laboratory,None
URXUCR,"Creatinine, urine (mg/dL)",ALB_CR_L,Albumin & Creatinine - Urine,2021,2023,Laboratory,None
URXUMA,"Albumin, urine (ug/mL)",ALB_CR_L,Albumin & Creatinine - Urine,2021,2023,Laboratory,None
URXUMS,"Albumin, urine (mg/L)",ALB_CR_L,Albumin & Creatinine - Urine,2021,2023,Laboratory,None
LBDP1ALC,Arachidic acid (C20:0) comment code,FAR_L,Fatty Acids - Washed RBCs,2021,2023,Laboratory,None
LBDP1ELC,11-Eicosenoic acid (C20:1n-9) comment code,FAR_L,Fatty Acids - Washed RBCs,2021,2023,Laboratory,None
LBDP1GLC,Tetracosanoic acid (C24:0) comment code,FAR_L,Fatty Acids - Washed RBCs,2021,2023,Laboratory,None
LBDPANLC,alpha-Linolenic acid (C18:3n-3) comment code,FAR_L,Fatty Acids - Washed RBCs,2021,2023,Laboratory,None
LBDPD3LC,Docosapentaenoic acid 3 (C22:5n-3) comment code,FAR_L,Fatty Acids - Washed RBCs,2021,2023,Laboratory,None
LBDPD6LC,Docosapentaenoic acid (C22:5n-6) comment code,FAR_L,Fatty Acids - Washed RBCs,2021,2023,Laboratory,None
